SubGrup,Brix
1,38
1,38
1,38
2,35
2,39
2,38
3,38
3,38
3,39
4,39
4,38
4,38
5,37
5,37
5,38
6,37.4
6,38
6,38.2
7,38
7,38
7,37.2
8,37.8
8,37
8,37
9,38
9,39
9,38
10,38.4
10,38
10,38
11,41
11,38
11,38
12,39.4
12,38
12,37.6
13,38.5
13,39
13,38.5
14,38.4
14,38.5
14,38.6
15,38.8
15,38.5
15,38.5
16,38.5
16,38.5
16,38.5
17,38.4
17,37
17,38
18,38
18,40
18,37
19,37
19,37.2
19,37
20,38
20,37.8
20,38
21,37
21,38.2
21,38
22,38
22,39
22,37.6
23,37.6
23,38
23,39
24,36
24,38
24,37.6
25,38
25,39
25,38
26,33
26,37.2
26,38.2
27,37
27,38
27,37
28,37
28,38
28,37.4
29,39
29,38.4
29,38.2
30,39
30,38
30,38
31,37.2
31,38.4
31,37.4
32,38.4
32,37
32,38.4
33,37.2
33,37
33,37.4
34,37.2
34,37.2
34,38
35,37
35,38
35,38
36,38
36,39
36,40
37,38
37,38
37,37
38,39
38,39
38,40
39,38
39,37.2
39,38
40,38
40,38
40,37.2
41,39
41,38
41,38
42,38
42,38.2
42,37.4
43,39
43,38.4
43,38
44,38
44,38
44,39
45,36.6
45,39
45,39
46,37.2
46,38
46,38
47,39
47,39
47,39.6
48,37
48,38
48,39
49,39
49,37
49,38
50,37
50,38
50,37.4
51,37.2
51,38
51,38
